,token_lower,count_nusc,percentage_of_all_tokens_nusc,count_uoe,percentage_of_all_tokens_uoe
0,"""'new""",1801.0,0.09402882993886298,NA,NA
1,1955-1958,770.0,0.040201109968308994,NA,NA
2,19th,NA,NA,76.0,0.014005731292673712
3,20th,NA,NA,2143.0,0.3949247652657864
4,academic,2356.0,0.12300495465628052,NA,NA
5,accessible,1802.0,0.09408103917258806,NA,NA
6,aesthetic,1798.0,0.09387220223768776,NA,NA
7,all-time,1796.0,0.0937677837702376,NA,NA
8,alternative,NA,NA,76.0,0.014005731292673712
9,american,NA,NA,100.0,0.018428593806149623
10,annual,NA,NA,89.0,0.01640144848747316
11,black,NA,NA,86.0,0.015848590673288674
12,british,1943.0,0.10144254112782387,367.0,0.06763293926856911
13,broad,782.0,0.040827620773009915,NA,NA
14,different,NA,NA,170.0,0.031328609470454356
15,distinctive,1806.0,0.09428987610748837,NA,NA
16,domestic,NA,NA,220.0,0.04054290637352917
17,early,976.0,0.05095621211567478,1569.0,0.28914463681848757
18,early/mid,NA,NA,264.0,0.048651487648235
19,expedition,771.0,0.04025331920203407,NA,NA
20,first,1311.0,0.06844630541357544,307.0,0.056575782984879336
21,french,NA,NA,90.0,0.01658573442553466
22,further,858.0,0.04479552253611573,NA,NA
23,general,NA,NA,122.0,0.02248288444350254
24,genetic,NA,NA,152.0,0.028011462585347424
25,geological,782.0,0.040827620773009915,NA,NA
26,german,NA,NA,96.0,0.017691450053903636
27,good,NA,NA,82.0,0.01511144692104269
28,handwritten,NA,NA,114.0,0.021008596939010568
29,high,NA,NA,107.0,0.019718595372580094
30,historic,3650.0,0.19056370309652965,NA,NA
31,indian,NA,NA,154.0,0.02838003446147042
32,individual,819.0,0.04275936242083775,NA,NA
33,influential,3610.0,0.1884753337475266,NA,NA
34,injured,778.0,0.04061878383810961,NA,NA
35,key,3686.0,0.19244323551063242,NA,NA
36,large,1200.0,0.06265108047009195,149.0,0.027458604771162937
37,last,NA,NA,86.0,0.015848590673288674
38,late,NA,NA,468.0,0.08624581901278022
39,loose,NA,NA,107.0,0.019718595372580094
40,main,935.0,0.048815633532946635,NA,NA
41,major,1876.0,0.09794452246824374,NA,NA
42,many,1794.0,0.09366336530278745,160.0,0.029485750089839394
43,medical,NA,NA,100.0,0.018428593806149623
44,mid-twentieth,5386.0,0.28119893284326264,NA,NA
45,military,1628.0,0.08499663250442474,NA,NA
46,most,840.0,0.043855756329064355,NA,NA
47,negative,NA,NA,87.0,0.01603287661135017
48,new,NA,NA,174.0,0.03206575322270034
49,new-wave,1795.0,0.09371557453651252,NA,NA
50,next,NA,NA,253.0,0.04662434232955854
51,non-military,770.0,0.040201109968308994,NA,NA
52,notable,3099.0,0.16179641531401245,NA,NA
53,nuclear,NA,NA,86.0,0.015848590673288674
54,old,NA,NA,206.0,0.03796290324066822
55,original,NA,NA,118.0,0.021745740691256555
56,other,1787.0,0.09329790066671191,384.0,0.07076580021561454
57,own,NA,NA,94.0,0.017322878177780644
58,parachute,770.0,0.040201109968308994,NA,NA
59,partial,1967.0,0.1026955627372257,NA,NA
60,polar,2312.0,0.12070774837237713,NA,NA
61,polemical,1795.0,0.09371557453651252,NA,NA
62,post-war,1805.0,0.0942376668737633,NA,NA
63,professional,1908.0,0.0996152179474462,NA,NA
64,public,2144.0,0.11193659710656426,NA,NA
65,recent,2001.0,0.10447067668387831,NA,NA
66,recipientcapital,NA,NA,89.0,0.01640144848747316
67,related,NA,NA,98.0,0.018060021930026628
68,remarkable,1802.0,0.09408103917258806,NA,NA
69,same,NA,NA,78.0,0.014374303168796706
70,scholarly,1797.0,0.09381999300396268,NA,NA
71,scientific,816.0,0.04260273471966252,78.0,0.014374303168796706
72,scottish,NA,NA,415.0,0.07647866429552093
73,second,NA,NA,165.0,0.030407179780146877
74,several,1933.0,0.1009204487905731,213.0,0.03925290480709869
75,sheep,NA,NA,158.0,0.029117178213716403
76,short,NA,NA,77.0,0.01419001723073521
77,significant,2602.0,0.13584842615264936,NA,NA
78,small,NA,NA,187.0,0.03446147041749979
79,special,NA,NA,121.0,0.022298598505441043
80,successful,2349.0,0.12263949002020497,NA,NA
81,such,2010.0,0.10494055978740399,97.0,0.017875735991965132
82,test-bed,770.0,0.040201109968308994,NA,NA
83,trans-antarctic,770.0,0.040201109968308994,NA,NA
84,undated,NA,NA,112.0,0.020640025062887576
85,various,777.0,0.04056657460438454,478.0,0.0880886783933952
86,white,NA,NA,79.0,0.014558589106858201
87,wide,790.0,0.04124529464281053,NA,NA
88,widely-read,1795.0,0.09371557453651252,NA,NA
89,young,NA,NA,169.0,0.03114432353239286
