word,count
he,0
niece,0
his,0
hers,0
granddaughter,0
him,0
her,0
she,0
aunt,2
grandmother,4
grandson,4
nephew,5
grandfather,8
uncle,15
girls,23
husband,23
sister,27
girl,32
boys,48
boy,52
mother,53
daughter,60
brother,65
father,106
wife,109
son,145
women,157
woman,279
men,452
man,656
