word,count
Viscountess,0
Baroness,1
gentleman,1
gentlemen,1
Ms,2
lady,2
ladies,3
Messrs,4
Dame,5
Count,6
Countess,9
Viscount,10
Baron,15
Princess,21
Duchess,22
Prince,62
Duke,65
Miss,80
Mr,99
Queen,100
King,151
Lord,171
Lady,174
Mrs,184
Sir,406
