,sentences_per_description,tokens_per_description,tokens_per_sentence
mean,1.657579990687155,25.48220581387614,15.373137922177989
median,1.0,9.0,12.0
standard_deviation,2.3960121023378416,63.48136719735125,14.191079622994536
minimum,1.0,0.0,0.0
maximum,91.0,2296.0,1563.0
total,124592.0,1915370.0,1915370.0
