description_id,eadid,field,rowid,adj_count,adv_count
81494,TF,scopecontent,TF-06638,3.0,0.0
81497,TF,scopecontent,TF-06640,4.0,1.0
81502,TF,scopecontent,TF-06643,4.0,1.0
81504,TF,scopecontent,TF-06644,6.0,0.0
81505,TF,unittitle,TF-06644,1.0,0.0
81506,TF,scopecontent,TF-06645,3.0,0.0
81508,TF,scopecontent,TF-06646,2.0,0.0
81510,TF,scopecontent,TF-06647,2.0,0.0
81513,TF,scopecontent,TF-06649,2.0,0.0
81515,TF,scopecontent,TF-06650,1.0,0.0
81516,TF,unittitle,TF-06650,1.0,0.0
81517,TF,scopecontent,TF-06651,2.0,0.0
81518,TF,unittitle,TF-06651,1.0,0.0
81521,TF,scopecontent,TF-06653,2.0,0.0
81522,TF,unittitle,TF-06653,1.0,0.0
81523,TF,scopecontent,TF-06654,5.0,0.0
81524,TF,unittitle,TF-06654,1.0,0.0
81529,TF,scopecontent,TF-06658,2.0,0.0
81531,TF,scopecontent,TF-06659,2.0,0.0
81532,TF,unittitle,TF-06659,2.0,0.0
81533,TF,scopecontent,TF-06660,1.0,0.0
81535,TF,scopecontent,TF-06661,1.0,0.0
81537,TF,scopecontent,TF-06662,4.0,0.0
81538,TF,unittitle,TF-06662,1.0,0.0
81539,TF,scopecontent,TF-06663,1.0,0.0
81541,TF,scopecontent,TF-06664,1.0,0.0
81543,TF,scopecontent,TF-06665,1.0,0.0
81544,TF,unittitle,TF-06665,2.0,0.0
81545,TF,scopecontent,TF-06666,3.0,0.0
81548,TF,scopecontent,TF-06668,4.0,0.0
81550,TF,scopecontent,TF-06669,1.0,0.0
81552,TF,scopecontent,TF-06670,4.0,0.0
81553,TF,unittitle,TF-06670,1.0,0.0
81557,TF,scopecontent,TF-06673,3.0,0.0
81558,TF,unittitle,TF-06673,1.0,0.0
81559,TF,scopecontent,TF-06674,1.0,0.0
81561,TF,scopecontent,TF-06675,3.0,0.0
81563,TF,scopecontent,TF-06676,3.0,0.0
81565,TF,scopecontent,TF-06677,2.0,0.0
81566,TF,unittitle,TF-06677,1.0,0.0
81567,TF,scopecontent,TF-06678,3.0,0.0
81569,TF,scopecontent,TF-06679,3.0,0.0
81571,TF,scopecontent,TF-06680,3.0,0.0
81573,TF,scopecontent,TF-06681,2.0,0.0
81575,TF,scopecontent,TF-06682,2.0,0.0
81577,TF,scopecontent,TF-06683,3.0,0.0
81578,TF,unittitle,TF-06683,1.0,0.0
81579,TF,scopecontent,TF-06684,3.0,0.0
81581,TF,scopecontent,TF-06685,2.0,0.0
81583,TF,scopecontent,TF-06686,2.0,0.0
81585,TF,scopecontent,TF-06687,2.0,0.0
81587,TF,scopecontent,TF-06688,2.0,0.0
81589,TF,scopecontent,TF-06689,2.0,0.0
81591,TF,scopecontent,TF-06690,2.0,0.0
81593,TF,scopecontent,TF-06691,3.0,0.0
81595,TF,scopecontent,TF-06692,2.0,0.0
81597,TF,scopecontent,TF-06693,2.0,0.0
81599,TF,scopecontent,TF-06694,2.0,0.0
81601,TF,scopecontent,TF-06695,2.0,0.0
81603,TF,scopecontent,TF-06696,3.0,0.0
81605,TF,scopecontent,TF-06697,2.0,0.0
81606,TF,unittitle,TF-06697,1.0,0.0
81607,TF,scopecontent,TF-06698,2.0,0.0
81609,TF,scopecontent,TF-06699,2.0,0.0
81610,TF,unittitle,TF-06699,1.0,0.0
81611,TF,scopecontent,TF-06700,2.0,0.0
81613,TF,scopecontent,TF-06701,2.0,0.0
81615,TF,scopecontent,TF-06702,1.0,0.0
81617,TF,scopecontent,TF-06703,2.0,0.0
81619,TF,scopecontent,TF-06704,2.0,0.0
81620,TF,unittitle,TF-06704,1.0,0.0
81621,TF,scopecontent,TF-06705,4.0,0.0
81623,TF,scopecontent,TF-06706,4.0,0.0
81625,TF,scopecontent,TF-06707,2.0,0.0
81627,TF,scopecontent,TF-06708,5.0,1.0
81629,TF,scopecontent,TF-06709,3.0,1.0
81631,TF,scopecontent,TF-06710,2.0,0.0
81632,TF,unittitle,TF-06710,1.0,0.0
81633,TF,scopecontent,TF-06711,2.0,0.0
81635,TF,scopecontent,TF-06712,2.0,0.0
81637,TF,scopecontent,TF-06713,2.0,0.0
81639,TF,scopecontent,TF-06714,2.0,0.0
81641,TF,scopecontent,TF-06715,2.0,0.0
81643,TF,scopecontent,TF-06716,3.0,1.0
81645,TF,scopecontent,TF-06717,3.0,0.0
81647,TF,scopecontent,TF-06718,2.0,0.0
81649,TF,scopecontent,TF-06719,3.0,0.0
81651,TF,scopecontent,TF-06720,2.0,0.0
81653,TF,scopecontent,TF-06721,2.0,0.0
81655,TF,scopecontent,TF-06722,4.0,0.0
81657,TF,scopecontent,TF-06723,2.0,0.0
81659,TF,scopecontent,TF-06724,2.0,0.0
81661,TF,scopecontent,TF-06725,2.0,0.0
81663,TF,scopecontent,TF-06726,2.0,0.0
81665,TF,scopecontent,TF-06727,2.0,0.0
81667,TF,scopecontent,TF-06728,3.0,0.0
81669,TF,scopecontent,TF-06729,3.0,0.0
81671,TF,scopecontent,TF-06730,3.0,0.0
81673,TF,scopecontent,TF-06731,2.0,0.0
81675,TF,scopecontent,TF-06732,2.0,0.0
81677,TF,scopecontent,TF-06733,2.0,0.0
81679,TF,scopecontent,TF-06734,3.0,0.0
81681,TF,scopecontent,TF-06735,2.0,0.0
81682,TF,unittitle,TF-06735,1.0,0.0
81683,TF,scopecontent,TF-06736,2.0,0.0
81685,TF,scopecontent,TF-06737,4.0,1.0
81687,TF,scopecontent,TF-06738,2.0,0.0
81689,TF,scopecontent,TF-06739,3.0,0.0
81691,TF,scopecontent,TF-06740,2.0,0.0
81693,TF,scopecontent,TF-06741,2.0,0.0
81695,TF,scopecontent,TF-06742,2.0,0.0
81697,TF,scopecontent,TF-06743,2.0,1.0
81699,TF,scopecontent,TF-06744,2.0,0.0
81701,TF,scopecontent,TF-06745,2.0,0.0
81703,TF,scopecontent,TF-06746,3.0,1.0
81705,TF,scopecontent,TF-06747,2.0,0.0
81707,TF,scopecontent,TF-06748,1.0,1.0
81710,TF,scopecontent,TF-06750,2.0,0.0
81714,TF,scopecontent,TF-06752,1.0,0.0
81715,TF,unittitle,TF-06752,1.0,0.0
81716,TF,scopecontent,TF-06753,2.0,1.0
81718,TF,scopecontent,TF-06754,1.0,0.0
81720,TF,scopecontent,TF-06755,3.0,1.0
81734,TF,scopecontent,TF-06763,5.0,0.0
81735,TF,unittitle,TF-06763,1.0,0.0
81736,TF,scopecontent,TF-06764,3.0,0.0
81740,TF,scopecontent,TF-06766,7.0,1.0
81743,TF,scopecontent,TF-06768,1.0,0.0
81745,TF,scopecontent,TF-06769,1.0,0.0
81747,TF,scopecontent,TF-06770,1.0,0.0
81748,TF,unittitle,TF-06770,2.0,0.0
81752,TF,scopecontent,TF-06773,2.0,0.0
81755,TF,scopecontent,TF-06775,3.0,0.0
81757,TF,scopecontent,TF-06776,3.0,1.0
81761,TF,scopecontent,TF-06778,1.0,0.0
81763,TF,scopecontent,TF-06779,1.0,0.0
81765,TF,scopecontent,TF-06780,1.0,0.0
81767,TF,scopecontent,TF-06781,1.0,0.0
81769,TF,scopecontent,TF-06782,1.0,1.0
81771,TF,scopecontent,TF-06783,1.0,0.0
81773,TF,scopecontent,TF-06784,1.0,0.0
81775,TF,scopecontent,TF-06785,1.0,0.0
81777,TF,scopecontent,TF-06786,1.0,0.0
81779,TF,scopecontent,TF-06788,1.0,0.0
81781,TF,scopecontent,TF-06789,2.0,0.0
81782,TF,unittitle,TF-06789,1.0,0.0
81783,TF,scopecontent,TF-06790,1.0,0.0
81785,TF,scopecontent,TF-06792,1.0,0.0
81787,TF,scopecontent,TF-06793,1.0,0.0
81789,TF,scopecontent,TF-06794,1.0,0.0
81791,TF,scopecontent,TF-06795,2.0,0.0
81792,TF,unittitle,TF-06795,1.0,0.0
81794,TF,scopecontent,TF-06797,3.0,0.0
81796,TF,scopecontent,TF-06798,6.0,1.0
81798,TF,scopecontent,TF-06799,4.0,3.0
81800,TF,scopecontent,TF-06800,6.0,0.0
