word,count
Viscountess,1
gentlemen,2
gentleman,4
ladies,5
Duchess,5
Ms,5
Baroness,6
Countess,6
Count,8
Viscount,11
lady,13
Princess,16
Messrs,17
Baron,22
Duke,28
Dame,34
Prince,53
Miss,115
Mrs,127
Queen,142
King,162
Mr,204
Lord,246
Lady,579
Sir,2161
