word,count
him,0
his,0
hers,0
her,0
she,0
he,0
granddaughter,3
niece,3
grandmother,6
grandson,7
nephew,8
grandfather,16
boys,33
uncle,34
aunt,44
girls,51
husband,57
girl,70
boy,75
brother,93
daughter,100
sister,180
son,183
wife,196
woman,198
women,345
mother,415
man,429
father,488
men,975
